Elect_div	State	yes_count	yes_percent	no_count	no_percent	total
Cowan	WA	44388	58.8	31075	41.2	75463
Curtin	WA	59638	72.2	22943	27.8	82581
Durack	WA	39304	59.2	27128	40.8	66432
Forrest	WA	51612	63.8	29285	36.2	80897
Fremantle	WA	57541	70.1	24559	29.9	82100
Hasluck	WA	47880	62.4	28836	37.6	76716
Moore	WA	56690	68	26690	32	83380
O'Connor	WA	43554	56.2	33987	43.8	77541
Pearce	WA	54305	63.9	30699	36.1	85004
Perth	WA	57510	71.5	22967	28.5	80477
Stirling	WA	47225	61.1	30060	38.9	77285
Swan	WA	49093	64.7	26830	35.3	75923
Tangney	WA	48338	61.6	30090	38.4	78428
Bass	TAS	36249	61.7	22510	38.3	58759
Braddon	TAS	30054	54	25573	46	55627
Denison	TAS	45005	73.8	15992	26.2	60997
Franklin	TAS	44746	68.8	20322	31.2	65068
Lyons	TAS	35894	58.7	25258	41.3	61152
Lingiari	NT	19026	54.5	15898	45.5	34924
Solomon	NT	29660	65.3	15792	34.7	45452
Canberra	ACT	89590	74.1	31361	25.9	120951
Fenner	ACT	85869	74	30159	26	116028
